real_price,predicted_price,mape_error,mse_error
0.0983,0.09831324,1.8142454982116177e-08,1.7535578235996942e-10
0.0684,0.06840636,8.639675961515949e-09,4.042875771173434e-11
0.0684,0.0683846,5.0696083687399056e-08,2.370778973506353e-10
0.0716,0.071581274,6.843505438866634e-08,3.5065292615615874e-10
0.0646,0.06474813,5.234026382964014e-06,2.1942715758234402e-08
0.0755,0.07549632,2.371589827403365e-09,1.3517338320650561e-11
0.0862,0.086215526,3.2429531845135864e-08,2.4105250122605815e-10
0.0792,0.07933781,3.017308203467967e-06,1.899241198471321e-08
0.0821,0.08215452,4.4039915416998406e-07,2.9724146956545158e-09
0.0749,0.07497077,8.909974480636272e-07,5.007954414419603e-09
0.079,0.0789775,8.114223350398652e-08,5.061202966807693e-10
0.0608,0.060798835,3.671591657367393e-10,1.357203246108156e-12
0.0495,0.049454633,8.415178806748236e-07,2.058151394274111e-09
0.0256,0.025603015,1.3867093272558938e-08,9.090078991419822e-12
0.0277,0.027801093,1.3222573218730369e-05,1.0219736838296537e-08
0.0235,0.023555588,5.568956716932766e-06,3.0900232059574088e-09
0.0175,0.01752537,2.0954758539321132e-06,6.436014554688495e-10
0.0228,0.02279437,6.101295613833868e-08,3.170131222877829e-11
0.0198,0.019840447,4.15599197048155e-06,1.63597858675063e-09
0.0269,0.027279755,0.00019378773961595757,1.4421393643769478e-07
0.0291,0.029278876,3.7324723831714704e-05,3.1996716364033645e-08
0.0256,0.025841579,8.739361398616113e-05,5.836033652008152e-08
0.0239,0.023895372,3.751581870595744e-08,2.1421111888787713e-11
0.0133,0.0133618275,2.1410718239820503e-05,3.822636091387125e-09
0.0131,0.01310305,5.418836743558063e-08,9.303596687447815e-12
0.0145,0.014575377,2.6744798256669163e-05,5.681708209422598e-09
0.0185,0.018496148,4.336556006584868e-08,1.4835683405316096e-11
0.0141,0.014128848,4.168859725102816e-06,8.322058929124613e-10
0.0149,0.014931667,4.497675069957396e-06,1.0027776582373518e-09
0.0146,0.014606258,1.8356056730282974e-07,3.916131986522245e-11
0.0054,0.0055660866,0.0008903676518659408,2.7584765373714443e-08
0.0025,0.0025287333,0.00012911187414694925,8.256048863627413e-10
0.001,0.0010001484,2.200434317254174e-08,2.201087281275625e-14
0.0006,0.00061246235,0.0004140386503209977,1.553100904479874e-10
0.0003,8.637053e-05,6.117742355120595,4.563755124216358e-08
0.0002,0.0008172547,0.5704452399426134,3.810033764561279e-07
0.073,0.07301143,2.4500092629741012e-08,1.3060187535540027e-10
0.062,0.06200587,8.962251684974918e-09,3.4457419278771324e-11
0.0636,0.06362407,1.4311218999913223e-07,5.79321317650671e-10
0.0693,0.069301195,2.975610339799781e-10,1.4290831929019676e-12
0.0523,0.0523781,2.223289690023694e-06,6.099518111947057e-09
0.0788,0.07909973,1.4358512001532753e-05,8.983786738914104e-08
0.053,0.053003177,3.5928858007321478e-09,1.0093626215744254e-11
0.053,0.053028315,2.8511945351704376e-07,8.017565374417185e-10
0.0561,0.05610622,1.2293872587201421e-08,3.8699980201855716e-11
0.0501,0.05011791,1.2770291830555145e-07,3.2076481512381284e-10
0.0588,0.058824815,1.7795179889332085e-07,6.157770809013617e-10
0.0659,0.06589823,7.196766337532373e-10,3.1252511986687745e-12
0.0601,0.060014516,2.02887776781196e-06,7.307494562449048e-09
0.0608,0.060807772,1.633598221417018e-08,6.040368497238736e-11
0.0551,0.055142026,5.808698357680596e-07,1.7662178435484167e-09
0.0568,0.058632176,0.0009764781388909546,3.3568702486926807e-06
0.0399,0.04003924,1.2093849125410428e-05,1.938814350615814e-08
0.0313,0.03130247,6.229994525701939e-09,6.104426947530356e-12
0.0153,0.015304551,8.84423390410579e-08,2.0715786755979527e-11
0.0162,0.01619665,4.279206833838411e-08,1.122570558070047e-11
0.014,0.013933932,2.248172070498701e-05,4.3649266214454245e-09
0.0105,0.010414227,6.783409257226786e-05,7.357022631569067e-09
0.0135,0.013820075,0.0005363939222286699,1.0244828087431272e-07
0.0117,0.0119207995,0.00034307210638537375,4.875241974794454e-08
0.0146,0.014605197,1.2662263373787377e-07,2.7010099775371697e-11
0.0153,0.015290524,3.840753574234688e-07,8.979686484718824e-11
0.0133,0.013389154,4.4338261182515057e-05,7.94849586770324e-09
0.0117,0.011713932,1.41461494770179e-06,1.9410810058265693e-10
0.0066,0.006575287,1.4126242568263412e-05,6.107395823256733e-10
0.0067,0.0067004617,4.748619840596852e-09,2.131949262549469e-13
0.0068,0.0068222038,1.0592618972200678e-05,4.930065874873386e-10
0.0082,0.008784039,0.004420741410886732,3.411014904827808e-07
0.0058,0.005838674,4.387431451394628e-05,1.49568040096185e-09
0.0063,0.0064739278,0.0007217754446148292,3.02508652234784e-08
0.0059,0.0059311893,2.7652043683967673e-05,9.72771419503093e-10
0.0025,7.768557e-05,972.2553831410423,5.867607213319745e-06
0.0019,0.0019348774,0.00032492297369169596,1.216430517141171e-09
0.0006,0.0004884425,0.05216398926336178,1.2445079103726965e-08
0.0004,0.00040355124,7.743949329643816e-05,1.2611300476946378e-11
0.0002,0.00018840322,0.003788766496015698,1.3448520301504054e-10
0.0002,0.00021362436,0.00406752720046839,1.856230913298786e-10
0.0587,0.05870193,1.0795104756664285e-09,3.7199028884332015e-12
0.0484,0.04894814,0.00012540329914794926,3.0045631097948374e-07
0.0521,0.052140646,6.076815314458406e-07,1.6520715312322988e-09
0.0554,0.055456273,1.0296811290599461e-06,3.166679535816385e-09
0.0417,0.041694436,1.78066952048086e-08,3.095562212995514e-11
0.0628,0.06279857,5.206219081365635e-10,2.0531558108265002e-12
0.0419,0.0418943,1.849991417262592e-08,3.246980099958982e-11
0.0419,0.041903947,8.870029791790524e-09,1.557524664409928e-11
0.0436,0.04421771,0.00019515334973449366,3.815649669836889e-07
0.0402,0.0404217,3.0081216059084915e-05,4.9150110694741534e-08
