contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice,,dayToExpire
1,59,2.651,2.642,0.024654,0.0941,,0.231372549
1,55,2.651,2.654,0.024654,0.0922,,0.215686275
1,54,2.651,2.634,0.024654,0.1003,,0.211764706
1,51,2.651,2.674,0.024654,0.0791,,0.2
1,50,2.651,2.714,0.024654,0.0618,,0.196078431
1,49,2.651,2.711,0.024654,0.062,,0.192156863
1,48,2.651,2.723,0.024654,0.0476,,0.188235294
1,47,2.651,2.716,0.024654,0.047,,0.184313725
1,45,2.651,2.745,0.024654,0.0334,,0.176470588
1,37,2.651,2.736,0.024654,0.0231,,0.145098039
1,36,2.651,2.717,0.024654,0.0256,,0.141176471
1,34,2.651,2.655,0.024654,0.0463,,0.133333333
1,30,2.651,2.667,0.024654,0.0383,,0.117647059
1,29,2.651,2.655,0.024654,0.0449,,0.11372549
1,28,2.651,2.601,0.024654,0.083,,0.109803922
1,27,2.651,2.651,0.024654,0.0526,,0.105882353
1,26,2.651,2.643,0.024654,0.0559,,0.101960784
1,26,2.651,2.686,0.024654,0.035,,0.101960784
1,22,2.651,2.696,0.024654,0.0278,,0.08627451
1,21,2.651,2.686,0.024654,0.0304,,0.082352941
1,20,2.651,2.694,0.024654,0.0267,,0.078431373
1,19,2.651,2.652,0.024654,0.0428,,0.074509804
1,17,2.651,2.652,0.024654,0.0424,,0.066666667
1,16,2.651,2.663,0.024654,0.0377,,0.062745098
1,15,2.651,2.688,0.024654,0.0261,,0.058823529
1,14,2.651,2.672,0.024654,0.0314,,0.054901961
1,13,2.651,2.675,0.024654,0.0288,,0.050980392
1,12,2.651,2.678,0.024654,0.0266,,0.047058824
1,8,2.651,2.612,0.024654,0.0635,,0.031372549
1,7,2.651,2.61,0.024654,0.0572,,0.02745098
1,6,2.651,2.592,0.024654,0.0655,,0.023529412
1,5,2.651,2.598,0.024654,0.0585,,0.019607843
1,2,2.651,2.548,0.024654,0.1014,,0.007843137
1,1,2.651,2.52,0.024654,0.1316,,0.003921569
1,72,2.7,2.655,0.024654,0.1347,,0.282352941
1,71,2.7,2.626,0.024654,0.1489,,0.278431373
1,70,2.7,2.643,0.024654,0.135,,0.274509804
1,69,2.7,2.676,0.024654,0.1121,,0.270588235
1,68,2.7,2.637,0.024654,0.1356,,0.266666667
1,64,2.7,2.722,0.024654,0.0876,,0.250980392
1,60,2.7,2.642,0.024654,0.1209,,0.235294118
1,59,2.7,2.642,0.024654,0.1209,,0.231372549
1,55,2.7,2.654,0.024654,0.116,,0.215686275
1,54,2.7,2.634,0.024654,0.1274,,0.211764706
1,51,2.7,2.674,0.024654,0.1025,,0.2
1,50,2.7,2.714,0.024654,0.0826,,0.196078431
1,49,2.7,2.711,0.024654,0.0813,,0.192156863
1,48,2.7,2.723,0.024654,0.0665,,0.188235294
1,47,2.7,2.716,0.024654,0.0659,,0.184313725
1,45,2.7,2.745,0.024654,0.049,,0.176470588
1,37,2.7,2.736,0.024654,0.0376,,0.145098039
1,36,2.7,2.717,0.024654,0.0427,,0.141176471
1,34,2.7,2.655,0.024654,0.0727,,0.133333333
1,30,2.7,2.667,0.024654,0.0621,,0.117647059
1,29,2.7,2.655,0.024654,0.0721,,0.11372549
1,28,2.7,2.601,0.024654,0.1159,,0.109803922
1,27,2.7,2.651,0.024654,0.078,,0.105882353
1,26,2.7,2.643,0.024654,0.0841,,0.101960784
1,26,2.7,2.686,0.024654,0.0548,,0.101960784
1,22,2.7,2.696,0.024654,0.0466,,0.08627451
